YEAR ST CO2 LA_CO2_FLUX OA_CO2_FLUX GPP NPP HETRES CLIVE CDEAD
1850 13.7114612147922 284.316986083984 -0.0120112533772773 -0.821146449545007 86.5319941387989 39.8747707393336 37.4194381701801 507.630440511872 1707.28281930885
1851 13.7181809259981 287.160186767578 0.349053989771638 -0.24467123236674 85.9910789397738 39.6262753757205 36.7326561412241 507.820134119558 1707.57671846013
1852 13.7516168354695 290.031799316406 1.38827265243086 -0.0365640531157973 90.7688901596241 42.0261612122091 37.8248223268913 509.274900526347 1707.08927661777
1853 13.7140496514919 292.932098388672 1.22562694603486 -0.029507159636789 92.0981631570383 42.1865382033062 38.1236834931576 510.624826969859 1707.18575199909
1854 13.7622306266421 295.861389160156 1.35488698855767 0.327955170312859 91.2026406203706 41.7460923623137 37.423936703207 511.27747092863 1707.67368183421
1855 13.6964445274938 298.820007324219 0.720786968499189 0.539878316011747 90.16174102667 41.0695987426569 37.3892579797786 511.941376280103 1708.49734181381
1856 13.8209915073593 301.808197021484 0.0408592249894352 0.551896863887713 88.6898565679062 40.4709132352412 37.7450017163186 511.745664421333 1708.65447064436
1857 13.7267603898202 304.826293945312 3.13119259381164 0.663834378928775 93.4674758247467 43.813534470665 37.9130363262189 513.415010376402 1708.77237730738
1858 13.7350480638126 307.874603271484 1.23096045616093 0.917013827208922 91.6856665785485 41.6500105165287 37.7106358247125 514.465499665357 1709.93300282977
1859 13.9955033173437 310.953308105469 1.13519657186465 0.855037191629269 93.3441489532049 42.7135844934041 38.5642737685851 515.58782692191 1710.03972501628
1860 13.9313415238901 314.062805175781 1.64819655875646 1.07352902047222 93.2575421401706 42.5929146980215 38.2465887259884 516.632631656074 1709.9850348414
1861 13.8261995899632 317.203491210938 2.81992954781163 0.974985701951449 95.6460928099772 44.2461447827663 38.3815979061373 518.178560492417 1710.62148551949
1862 13.9801050292882 320.37548828125 1.45588295779724 1.11083495832671 96.5696960745041 42.9977134517452 38.3237249346209 520.604928507727 1711.41427927078
1863 14.1213647249951 323.579315185547 0.600723887455594 1.38949010859526 91.4571596114907 41.6511623173422 38.4074450508527 519.88143604444 1712.20450594111
1864 14.0337553179629 326.815093994141 1.92829736153068 1.48257785775602 93.2992115480175 43.0847733620176 38.2652767485289 521.149343923271 1712.59130577718
1865 14.05254282768 330.083190917969 2.25353418397576 1.61170028577335 94.9029854517181 43.3900662276721 38.4649303167063 522.897293872703 1712.75955181802
1866 13.9404351701872 333.384002685547 4.34229631738745 1.59445062863192 99.8331150928308 45.9131673419043 38.8827021496246 525.81317563236 1713.35081082534
1867 14.041432707592 336.717895507812 2.58568503223866 1.80868995674054 98.3092755450015 44.7319492471641 39.2389573914222 527.690606162416 1714.78456445288
1868 14.0398991509368 340.085113525391 3.84492660260866 1.88066081060084 100.844032260696 46.0059380511858 39.389417540242 530.019270903132 1715.64838208892
1869 14.0878197986598 343.485900878906 2.585627826007 1.71105052702736 99.1166470665728 44.7995408467778 39.47816873416 532.062762629708 1716.96319931914
1870 14.261650717788 346.920806884766 3.01428663353902 1.93744933899159 101.186109380844 45.5089888769885 39.9525733801138 534.31403247788 1717.51675626502
1871 14.0697700621438 350.390014648438 3.97208648343057 2.04016710259826 102.757263087914 46.5231648880051 39.4825201167686 537.29386339958 1718.40603059554
1872 14.2323273803155 353.893890380859 1.93121987476238 2.44876163563249 98.5256788497843 43.7227919333168 39.1078746750583 538.364151288441 1719.89590458893
1873 14.4047182789847 357.432800292969 2.95645442282509 2.40142339171932 102.956911436758 46.342757467291 40.261305092322 541.202689678319 1719.98136748003
1874 14.1604812470166 361.007110595703 4.3722776593566 2.13645078317917 104.235258786537 46.9922800213168 39.7486049367482 544.023136530622 1720.79434555613
1875 14.1718552739945 364.6171875 3.89172256387359 2.32350956984547 103.686698261933 46.8662696543541 40.0352261899636 546.500682967588 1722.13074776429
1876 14.2709405392055 368.263397216797 4.25605886923981 2.23366026231375 105.762881900118 47.2111980501249 40.0429922348564 549.808972717178 1723.51642121211
1877 14.401334183598 371.946014404297 2.89474912039487 2.16338670681617 103.407415484842 46.2157332296815 40.4364481061147 550.963002083922 1725.60692377844
1878 14.3888714650153 375.665496826172 3.58340484628499 2.25689915437502 102.315299361866 46.0529835610824 39.7966548201111 552.871846154673 1727.00998524912
1879 14.2996140913469 379.422088623047 4.90664651171233 2.36263336916127 105.419327431035 47.9381429429175 40.1429236602078 556.046291339565 1728.30375279242
1880 14.3380954608988 383.216400146484 3.94060318587441 2.40860333220262 105.039287430335 47.0387116313085 40.2361355245625 558.771728957655 1729.62525473138
1881 14.3691135347925 387.048492431641 5.04124838373131 2.58299283123626 108.128039411406 48.8182227225481 41.0785882483585 562.012788389423 1731.00598763078
1882 14.3595696283938 390.919006347656 4.37553331380398 2.57467460238752 108.453356743667 48.1075757236936 40.705858012799 565.587676092336 1732.56926454612
1883 14.4168700696018 394.828186035156 4.050798620876 2.73323259793265 106.983098096395 47.8371099654291 40.9068944200278 567.541033060971 1734.34290317857
1884 14.5005020797462 398.776489257812 4.70475330684505 2.61388807760392 110.235924554508 49.2923640357214 41.6909942104474 570.9370774006 1735.59992172206
1885 14.3513249505174 402.764190673828 4.15244130722406 2.75442367848778 108.743223265893 48.1426293581503 40.5477415272213 573.835139636062 1737.42222474212
1886 14.5382818737619 406.791900634766 3.54241959199592 2.79580248714399 106.37149906535 47.419916840948 40.7861719071699 575.455733689483 1739.47386043395
1887 14.613202139678 410.859802246094 5.72233909945 2.85836152854889 112.276787319934 50.3889443412918 41.9559410776198 579.245891883744 1740.27257211715
