"YEAR" "ST" "CO2" "LA_CO2_FLUX" "OA_CO2_FLUX" "GPP" "NPP" "HETRES" "CLIVE" "CDEAD"
1850 13.7114612147922 284.316986083984 -0.0120112533772773 -0.821146449545007 86.5319941387989 39.8747707393336 37.4194381701801 507.630440511872 1707.28281930885
1851 13.6546066066234 287.160186767578 0.651355750194428 -0.234003133822692 87.3407276924307 40.2157066871626 36.7677273256456 508.147248679144 1707.5656768257
1852 13.7223995387359 290.031799316406 1.10288034056947 -0.246344672759277 90.0067061579535 41.7454534705133 37.7886470264405 508.842296896995 1707.62391703407
1853 13.7779677468871 292.932098388672 0.357179915973619 0.14352412895843 89.0660497119641 40.888081625108 37.5680338506849 509.414395812092 1708.05153109778
1854 13.7918375958916 295.861389160156 1.46923322079319 0.402644586215245 88.6241510283177 40.9582285761686 37.0828371325704 509.705260124638 1708.17568336702
1855 13.7026721924454 298.820007324219 1.33676188028939 0.507510536797132 90.0074112518933 41.6001382374586 37.3546850231997 510.750216221385 1708.94791261887
1856 13.8408395271776 301.808197021484 0.89432390674009 0.661212838594654 90.4767245279911 41.2878259392931 37.7121182751924 511.749489591693 1709.06277448092
1857 13.819999060425 304.826293945312 0.715569784006946 0.901629600202725 90.291099912112 41.3309928075748 37.7168940438193 512.198586126493 1709.4530038346
1858 13.8090209691907 307.874603271484 1.55652218178744 0.892753752368022 91.3418392765085 41.8950531386661 37.4272043191263 513.185802677872 1709.55796091353
1859 13.6726857456839 310.953308105469 2.27240451115158 1.1288037158918 91.8783731422922 42.3159395555582 37.2519002125997 514.387888931568 1710.18325262662
1860 13.726640205887 314.062805175781 2.02908744772616 1.16273522820049 93.6688947672784 43.0358020597719 38.2630084816176 515.87560175343 1710.61643590267
1861 13.7509557527086 317.203491210938 1.85990107096688 1.22516122743179 94.3760572451608 42.8319866631964 37.9942501085314 517.632288847182 1711.55915447645
1862 13.7177989401952 320.37548828125 2.84127458611616 1.32784473235214 94.4918592254232 43.3561349891648 37.7552803668789 518.918292499009 1712.30938248837
1863 13.7251206327352 323.579315185547 3.64008497425442 1.17380706726308 99.1558860574969 45.6966663119256 39.2263327901313 521.245752429858 1712.78481054907
1864 13.5363224394205 326.815093994141 3.81076026235039 1.21024199056842 99.0397083298016 44.9269270811413 38.0731508842028 524.37692344998 1714.15442071778
1865 13.7916774862439 330.083190917969 2.02154287484855 1.43901799993948 95.5650402775605 43.2199370382465 38.3869538672998 525.080414647007 1716.03598547868
1866 13.8245386526713 333.384002685547 3.45196471526473 1.71678096199779 98.5020174084442 45.6057683984344 39.1469969076164 526.640848195178 1717.14013020456
1867 13.8344865389601 336.717895507812 4.45434594360798 1.92135233380552 102.312165000389 46.8601449619261 39.4551820957383 530.090464866896 1718.00167052544
1868 13.8682050029195 340.085113525391 2.84649103303143 2.04293292072123 99.8723678922193 45.1732783819644 39.287981045664 531.933650014627 1719.98247458411
1869 13.8315491135511 343.485900878906 2.49042638700891 2.1515897991751 97.5563051649103 44.1876408679135 38.766707619773 533.35555992001 1721.25539380535
1870 13.7623674703382 346.920806884766 3.07425089817822 2.07735370480618 97.2904055610832 44.6312704930329 38.9110134773359 534.35988067025 1722.51018674408
1871 13.724167612753 350.390014648438 3.86825826289475 2.15892746481664 97.9892862064169 44.7978073928317 38.0463658854699 536.436419533442 1724.28928009989
1872 13.5937676721142 353.893890380859 3.83575768349862 2.11604925590719 98.6770993059349 45.0115795215605 38.279097137465 538.411142596492 1726.30151641197
1873 13.6909399682752 357.432800292969 3.45580483937835 2.40095790455908 99.1970645922023 45.4839691688471 39.0970271100594 540.252010466531 1728.15152407741
1874 13.6125669178103 361.007110595703 4.57229597718672 2.21204509348695 100.08557461355 46.1185425265103 38.7654519376784 542.420411585719 1729.9713357179
1875 13.6166152432819 364.6171875 5.09041339108659 2.21992426316565 101.849975994784 47.1600116911197 39.1862622887201 544.908216819952 1732.17082045565
1876 13.7402940959719 368.263397216797 4.58326241827343 2.51748179984002 103.728626513982 47.0322237608426 39.4499672534953 548.349735728036 1733.97853423036
1877 13.781038620129 371.946014404297 4.90078106118848 2.38442720476891 103.322463312974 47.3903643613095 39.7861636284084 550.398117029402 1736.18050821244
1878 13.5711601177532 375.665496826172 6.39478362935787 2.63664682677329 105.31996841672 48.5328489652047 39.5021980680359 553.675452633513 1738.74594207177
1879 13.8047265486383 379.422088623047 5.66777238194345 2.43468768858901 108.983503269499 49.91126611191 41.322794317269 557.453262179036 1741.0294951387
1880 13.5263125008746 383.216400146484 5.98077180953461 2.49194283719006 109.489326278554 49.4781697522792 40.0337481961466 561.270687368586 1743.62823369876
1881 13.6550595030832 387.048492431641 4.94950517073741 2.54210909406021 107.191965737485 48.4540001797856 40.629232809136 563.298436612116 1746.10603188211
1882 13.4625418084306 390.919006347656 6.21020510938701 2.47226580409581 108.767921159425 49.5076336862306 40.1406487865564 567.090285533124 1748.62837490128
1883 13.6875364675309 394.828186035156 4.81664413751316 2.69953890028158 107.526992328389 48.2723047065022 40.4021732810033 569.690779527716 1751.43046184501
1884 13.7122582817016 398.776489257812 5.60444507791179 2.67678852279383 106.811038465796 48.7540387848002 40.2334042670464 571.950081095502 1753.89566946809
1885 13.8319671038333 402.764190673828 5.30615029794453 2.7624374105144 109.471339580137 49.1045249530853 40.5543220797701 575.885763469392 1756.21947018191
1886 13.8280458596897 406.791900634766 6.50748073435859 2.92421536201144 110.710544127954 50.4169065793059 41.2537368174866 578.901913056184 1758.68609427533
1887 13.6679774792798 410.859802246094 7.75921380653392 3.10561094045258 115.239096827831 52.5540291469407 41.8163679737295 583.426286886135 1761.41344118307
1888 13.6471368441151 414.968414306641 5.72322917804773 3.02475519233699 113.019556298253 50.2957275009953 41.3169237167643 587.497532863196 1764.47466340578
1889 13.7652621826937 419.118103027344 6.66342967978711 3.08985456960369 115.609460857034 52.3339959143063 42.5823070457305 590.839931758912 1767.24235162603
1890 13.6224533237489 423.309295654297 6.86500125486973 3.00942119044825 115.227354929888 51.9045239528246 41.7389474627187 594.926202913541 1770.50974854011
1891 13.6808093831092 427.542388916016 6.21695854780036 3.12285394888556 112.330383269594 51.0597239394925 41.7822322577464 596.990864526389 1773.85629094692
1892 13.594270438756 431.817810058594 6.95353601602861 3.01070877601486 114.692347768355 51.9466059148139 41.928815585684 601.079620441839 1777.04522022645
1893 13.5675705261009 436.135986328125 6.70092963786678 3.14702875672817 115.184094169782 52.1041735093083 42.1509650254031 604.75517135923 1780.39690012031
1894 13.5744618899927 440.497314453125 8.28427291270908 3.13713398200876 117.175594976378 53.8166186466228 42.5832885970655 608.525670070598 1783.74133765442
1895 13.6308020398293 444.902313232422 8.08734455561528 3.15397145966814 120.251522451708 54.5200295692493 43.5582635617494 613.487417015528 1787.03583205013
1896 13.6824608342308 449.351287841797 6.53445123154865 3.28640323716715 117.381675331695 52.4385291052408 42.8857016999834 617.121579821728 1790.91103098194
1897 13.6520688924994 453.844787597656 5.94437237074964 3.18763972900112 115.083709607721 51.3529147610205 42.2795558213359 620.06916896067 1794.5998357837
1898 13.6225554421032 458.38330078125 6.94539393773066 3.25447611974807 116.959273939314 52.861457518063 42.7971517648425 623.362968019918 1798.17913937006
1899 13.6720829869571 462.967102050781 6.70895123274539 3.15868405030424 116.103196768357 53.0455213166686 42.9635334685003 626.032631678261 1801.44122812545
1900 13.3099490648516 467.596801757812 10.0852686023699 3.30742767870972 122.261723136012 56.6152473253609 43.3977125099802 631.144525407801 1804.86944907537
