"YEAR" "ST" "CO2" "LA_CO2_FLUX" "OA_CO2_FLUX" "GPP" "NPP" "HETRES" "CLIVE" "CDEAD"
1850 13.7114612147922 284.316986083984 -0.0120112533772773 -0.821146449545007 86.5319941387989 39.8747707393336 37.4194381701801 507.630440511872 1707.28281930885
1851 13.6848633763587 287.160186767578 -1.01758836324232 -0.55235332621784 83.5636002177562 38.1001875401418 36.3780255740107 507.150106114566 1707.58084922039
1852 13.8651792792618 290.031799316406 -0.633165905994916 -0.866044872599774 87.0966699705706 40.2079994406052 37.9671880926967 507.177598491846 1706.72741129655
1853 13.752819880264 292.932098388672 0.360447055658809 -0.813822098062383 87.7706124015652 40.4833251485329 37.3520818624418 507.816790689427 1706.24422601743
1854 13.8591765485917 295.861389160156 -0.279687282913521 -0.745929500820885 85.0894531141547 39.4905960468786 37.2103285621364 507.317751670161 1706.43322978342
1855 13.849376639254 298.820007324219 -1.31076619108482 -0.66746050342613 83.8862082641638 38.5954894681932 37.2511808141832 506.77783179287 1706.26221446032
1856 13.7555422729202 301.808197021484 0.0679709085175791 -0.909251048728131 88.392028472835 40.8736863869645 37.5906968436566 507.69014394235 1705.2702875679
1857 13.6318612577098 304.826293945312 1.12624511409989 -0.833845200269593 89.5230009423709 41.2817599349948 37.4318292436414 508.415670744332 1704.76243759573
1858 13.6487753293536 307.874603271484 -0.420694225521228 -0.655674144718556 87.3245700298448 39.7621536053297 37.3066279655913 508.338258771925 1705.06890367682
1859 13.8035946233425 310.953308105469 -0.815474775443612 -0.829613810198944 86.7111180014042 39.4867122486216 37.4639353010216 508.17754505585 1704.65262805466
1860 13.7478223829386 314.062805175781 0.0715764574100119 -0.940040267900125 87.5413184319301 40.1263823370674 37.2452364940273 508.453758748941 1704.04240697121
1861 13.8472907687553 317.203491210938 -0.191921783314721 -0.93183526221673 87.0190884689536 39.6936329724979 37.2395233456519 508.601876247333 1704.06632186011
1862 13.9250723467033 320.37548828125 -0.402282578408359 -0.990130807183325 88.2414611404843 40.3093917338747 38.14680064167 508.499891794815 1703.4476432958
1863 13.8471180678089 323.579315185547 -0.175348859842857 -0.747663996253337 87.8117322366859 40.0428222425243 37.3755496077083 508.842850419696 1703.20367974747
1864 13.8516913298814 326.815093994141 -0.05361177544657 -0.951350535424053 88.00413935203 40.2097810330452 37.3543622500621 509.049797477493 1703.34720979599
1865 14.0933261075756 330.083190917969 -1.39061260577357 -0.901444744243905 86.2603050036449 38.9778677475315 37.7316175551057 508.596645450764 1702.81229688546
1866 13.8804431221508 333.384002685547 -0.594799285025525 -0.898748980140901 84.5214734749182 38.7039088536771 36.5205800779766 507.751964955701 1702.44510628453
1867 14.109065547012 336.717895507812 -0.949703870012152 -0.676221500081408 85.8875314436277 39.0605408985348 37.335669911919 507.827423951711 1701.88927738242
1868 14.1678017133721 340.085113525391 -1.2195461054139 -0.831524404209544 86.3019771257433 39.1507331474749 37.7688028856651 507.538008710039 1701.0641841701
1869 14.218736854672 343.485900878906 -1.17450270215347 -0.85441733537442 85.6982103693925 39.217564626797 37.7313813874409 507.079360534474 1700.1727230084
1870 14.0352587361949 346.920806884766 -0.863164566139831 -0.580570729960556 86.1308739246151 39.4276678628798 37.3187443682935 506.959602184256 1699.26096348359
