"YEAR" "ST" "CO2" "LA_CO2_FLUX" "OA_CO2_FLUX" "GPP" "NPP" "HETRES" "CLIVE" "CDEAD"
1850 13.7114612147922 NA -0.251895792277574 -0.821146449545007 123.658303095254 54.4150208095682 51.4016293597614 718.24036870686 2227.55573790956
1851 13.5886377213132 NA 0.965979875409888 -0.723335645403812 126.746578877483 55.8434706800589 51.2777873153201 719.336462961077 2227.29963874902
1852 13.6524551640463 NA 0.180946736691637 -1.05276293468089 126.779860873034 55.4498592268466 51.8394861739001 719.598574714217 2226.99603339891
1853 13.5794656299196 NA -0.119694165773708 -0.910161665066855 127.107704809839 54.6330360190195 50.9531957486975 720.930897077126 2226.73776536276
1854 13.7291569478001 NA 0.154878496602986 -0.817777294051028 125.89081048712 55.4417447429019 51.7707210051087 720.000654048283 2227.03910122401
1855 13.8136217612276 NA -1.5077013980765 -0.910273787681991 124.649229664205 53.8088803165261 51.8455099091922 719.838024408385 2226.51824368077
1856 13.6195528162726 NA 1.04510743858043 -0.652963314491678 127.6510038345 55.9615921596308 51.565325086882 720.582770015569 2225.75833377331
1857 13.6891435865805 NA -1.46545489512589 -0.608225226162601 122.867049768957 53.0496661740196 50.6469596216403 720.097086036075 2226.43209164134
1858 13.846347230477 NA 0.230841113407023 -0.894783433409472 126.708358508904 55.7988704513053 52.1154248179132 720.045491701413 2224.76355363586
1859 13.5911661023135 NA -0.481822809384016 -0.848101866424336 125.518275884166 54.1413872949967 51.047641118607 720.817200782203 2224.71458111901
1860 13.6949800130657 NA -0.382560128000612 -0.8690914637127 124.802487518519 54.2530475395605 51.0736009401077 720.580521422 2224.60272686179
1861 13.8036354354133 NA -1.68242284182089 -0.916813986996629 121.785664165355 53.4507524191946 51.752600642904 718.723292430973 2224.50061566201
1862 13.6962296006247 NA -0.0765887323630123 -0.825147032500123 123.451274121477 54.4356951135144 50.990224234795 718.913789941871 2224.19935439303
1863 13.7551999243479 NA -0.56169015382685 -0.787346524758205 123.624919457226 54.4709684161803 51.2461739559895 718.696075299388 2223.73758595593
1864 13.7473100293307 NA 0.0459937509145072 -0.810915910495635 125.502073214796 55.1519856456372 51.3169554478031 718.970248797081 2223.22039389801
1865 13.7785768330147 NA 0.0782313953243165 -0.747780573775138 124.866276719114 54.7805454352464 51.2594335381028 718.693975791506 2223.14364500712
1866 13.6357684014188 NA -0.464013364484443 -0.88643320330766 124.911344129822 54.2393169734562 51.2929129351706 718.961342092641 2222.92565894839
1867 13.5999693287223 NA -0.328253342592314 -0.88889171694009 123.527821460742 53.7871668871327 50.6259751022204 718.639170758705 2222.73693766559
1868 13.5559184936611 NA -0.022034795725925 -0.946529694647909 125.560121435583 54.5028606239576 50.5777761439055 719.230532302706 2222.67034121876
1869 13.5756887398603 NA -0.476168524661088 -0.860325129368054 122.933575517045 53.9427155158592 51.15182111486 717.837087213469 2222.9829536762
1870 13.5564374202337 NA 0.990211157351606 -1.01209345694042 127.856858521424 55.8347314088375 51.245717715523 718.987487235375 2222.50169061297
1871 13.6601530298939 NA -1.85768305039567 -0.930367648571074 124.233940536212 53.3626193931678 51.0335794104758 718.710211434916 2222.69805484781
1872 13.6747918631067 NA 0.147778981105006 -0.821288156014735 125.978832372301 54.8026957591791 51.1388736017584 718.690800676626 2222.05177742108
1873 13.8163726875633 NA -0.523364564182725 -0.927667062386053 124.582903807404 54.0572401833628 51.2757324025603 718.442546044249 2221.58153976515
1874 13.6957721928243 NA -0.482094715049149 -0.866302935782067 123.428845824687 53.7821713101459 50.6257101534815 718.429996534698 2221.34454276426
1875 13.8152863905187 NA -0.840283451366671 -0.787657105214377 121.97652612922 53.5716720290267 50.9347484218377 717.294764826765 2221.12306283074
1876 13.7747159337684 NA 0.592878651823958 -0.946231920435078 124.259793169448 54.436281315165 50.4883106739555 717.893185778493 2220.51057089344
1877 13.7177199323742 NA 0.0666269742253493 -0.889547534071924 124.921250951275 54.1913706811455 50.6271489179776 718.67165974368 2220.65874246413
1878 13.8468597716973 NA -0.379478705437311 -1.00077530919129 124.99298933748 54.6360655549593 51.6759058232588 718.056467148493 2220.59208757402
1879 13.9338436774548 NA 0.851364021131227 -0.884104950755528 127.440280307078 56.2151296587371 52.0624624518342 718.729668395902 2219.68043650178
1880 13.834597699283 NA 0.97660064546066 -0.941777181299078 130.016291234713 56.4369988922391 51.7200208315329 720.43777713906 2219.89322230477
1881 13.9225384398431 NA -1.56057473889596 -0.909400120062188 124.449309067492 53.8972417834129 51.5286607908714 719.768374164749 2220.35525277535
1882 13.9307132001928 NA 0.3274049304131 -0.931910014491757 126.235265352591 55.7453672897436 51.8955512266095 719.336045230488 2219.60377843806
1883 13.8566471978744 NA -0.59590794164057 -0.762364329839062 125.137144531458 54.3864213117751 50.8803694263224 719.966111116056 2219.70047478358
1884 13.8338815803878 NA -0.591950789140611 -0.896267815536925 122.662207094938 53.6462447498619 50.5639997857493 718.644654338233 2219.75508115588
1885 13.8621843314776 NA 1.55316735954754 -0.865332294604191 128.929698613064 56.7350959731644 51.7902764964765 719.884519999082 2218.93556066936
1886 13.7620185177947 NA 0.0801582570128734 -0.719593062163809 125.773664062934 54.6168420803974 50.8773757842526 720.442308837768 2219.45606564688
1887 13.8819260231012 NA -1.31049349985272 -1.01283355380286 124.425643347178 54.357705285006 51.849578244838 719.862424452431 2219.460843582
1888 13.8095522603521 NA 1.14717449342237 -0.757309090547591 126.863863469578 55.864172431572 51.2247596876272 720.209508277667 2218.63959539008
