,tcre,zec50,zec100,tpw,tnz,tr1000,tr0
ACCESS-ESM1-5,1.753010630607605,0.2083038091659546,0.13327324390411377,7.0,0.08160996437072754,0.23198843002319336,0.17284241318702698
CESM2,1.9514694464696816,-0.26313130417917985,-0.12651116776142413,-10.0,0.05382003157106663,0.02968799747832529,0.4195106736274397
GFDL-ESM4,1.4546538591384888,-0.20984792709350586,-0.11353909969329834,-29.0,-0.09170842170715332,-0.2535858154296875,-0.11297760158777237
GISS,1.6216384887695312,-0.18912963867187504,-0.24052734374999996,-4.0,0.12097320556640612,0.011425781250000044,-0.564288330078125
NorESM2-LM,1.1782112160056386,-0.22547232054460553,-0.3132724747572496,-33.0,-0.025514663431050577,-0.22908808444641693,-0.30888033017132555
MPI-ESM1-2-LR,1.5007705688476562,-0.1393890380859375,-0.23941349983215332,1.0,-0.06321108341217041,-0.23681938648223877,-0.2938400208950043
CNRM-ESM2-1,1.7228927679998862,0.0014262559957585186,0.1051871111694509,-10.0,0.10861629382865479,0.029177249860910637,0.3756393349602803
UKESM,2.4479899999999932,0.11829999999998764,,-3.0,0.2008850000000053,,
