Year,CESM2,CNRM-ESM2-1,MPI-ESM1-2-LR,NorESM2-LM,UKESM,ACCESS-ESM1-5
0.0,,,,,,
1.0,6.3087845717333035,5.703930562126352,0.3190539035402707,6.101207464200391,9.412478035959559,8.277438955506934
2.0,7.0362711664816535,6.914842884509928,3.7252980745357562,6.979603722433499,8.33443378857009,8.381771780230363
3.0,8.393588970883314,6.827383959684254,6.101173315568349,8.231706787706562,10.302575961692622,10.804422145269568
4.0,8.451347628872446,7.335234227480512,6.742047204295568,7.872094835669514,10.027011928548243,10.036436155390723
5.0,7.782370444956961,7.002124036001783,7.241007942307563,8.765588101388312,9.840805768667463,10.662935186621604
6.0,8.552488140838626,6.4420815543803585,9.252403447136961,9.342569050614285,8.754770208924159,11.940836560471222
7.0,8.44651220596457,9.466041147066033,10.10798977669885,9.860836606135603,10.820267553129,9.73689350269584
8.0,9.090445758451176,8.000589817240984,11.85910634278161,10.440588390682803,11.04870567247116,9.629046097736573
9.0,9.061904145103702,7.91449196950247,13.096685232048067,10.53797212843244,10.635643872044675,10.467725358650274
10.0,9.798664107675942,8.652525372103181,12.359353163070207,10.17847141430985,9.923133037328057,11.114307705516431
11.0,11.17636189359731,9.70772677211087,9.05867826145387,10.486297060945319,9.386320268794519,12.172598022897914
12.0,11.018652241471003,8.632263841560919,10.293456907513551,11.000115099892508,13.902341946343427,11.995764428732581
13.0,10.50067832946084,8.161192284005532,10.16034940138604,11.187702673647038,13.037138519139928,13.144429666471403
14.0,11.1088157482687,9.539695787339552,12.358474005263872,11.316738654299817,10.367951361348695,14.21276164167046
15.0,11.197044580320906,10.024089234098632,11.902589990256503,11.557113674685011,12.895743114841553,12.159443451157157
16.0,11.055339760653172,12.006598934870489,11.398813476969528,11.936333837261655,13.889608276085815,13.006858954372186
17.0,11.638355886356162,10.64379133546869,13.818554171152915,12.411117480807665,15.584852625195206,14.417912710881108
18.0,12.60752055415767,11.942038511705443,14.590006605780806,12.86324903997548,13.292239995299118,15.454814297111668
19.0,12.39390914311174,10.685272705930931,11.643001315981635,12.565637056385535,10.696877401704283,14.688133722748827
20.0,12.689210951870903,11.359042900159157,13.30256690950049,13.191502012701928,15.21645236495021,14.710827869416239
21.0,12.758823859535067,12.408624070290083,13.350932645867756,13.019588872333784,13.6093274506775,15.137799159814499
22.0,12.282543307443092,10.96573421351368,15.054075328776777,13.748905089001179,14.379909923484187,16.69947778358525
23.0,13.226215794709299,11.940195965172533,15.012506738192085,14.361118119464958,12.950304376111353,14.072479681960607
24.0,13.918313453502178,13.075587953180053,15.502505090338696,14.425737235167913,15.644826925804312,15.08186712577118
25.0,13.6326184876727,12.874442981372733,14.393487205401408,14.568324016296785,15.439787968068616,15.146033319224905
26.0,13.600328868690085,13.199785774426953,13.581191610972938,14.2730379163704,16.17885089353643,14.749588668591674
27.0,14.49865068352312,11.946066188799959,14.089327742227269,14.779777178949475,15.36747845628466,15.406212673275046
28.0,15.028337152728863,12.743050895522376,15.665177417551899,15.380461916470903,14.77970579714467,15.653739538475355
29.0,14.710669752659049,14.139311362377887,17.622970419743933,14.597346999405955,15.96835738825719,16.440905094785773
30.0,14.795022579930372,13.36176320682039,16.694903306376304,14.565391380372857,15.536139529024371,16.46621007248568
31.0,15.62220881749873,14.61686979481238,16.319505937346495,14.82467684619852,15.294775880830684,16.54041792375674
32.0,15.271254356307045,14.068512206278907,16.22628205307127,16.30464673401425,16.439448916055053,15.673320771219343
33.0,15.173755471348668,13.990972477939037,15.915533427733063,16.24700526930252,19.413593528083048,17.484735424910244
34.0,15.670789434722973,14.563080398691191,16.549459457911045,16.056990686507508,16.556136673909258,15.995055487690712
35.0,16.20556965555584,14.259519468544395,17.961654158782995,17.132560192951527,13.739693683810078,16.62155451892184
36.0,15.891507588610834,13.811898250706635,19.04996210005955,16.82776830761668,17.314275048828247,16.095873732177935
37.0,17.0190111066778,15.96749714313871,17.061337284789015,17.181707126021422,16.57414689965533,14.65379125301306
38.0,16.67366191183781,14.851192640947854,17.221191283263064,16.32183804805107,18.186882447217442,15.564067534165567
39.0,16.283553227823585,16.06007538443702,15.657527237509582,16.843948367886483,17.272550301772817,16.622357851547168
40.0,15.850360370170488,15.03996847751269,18.219734700638163,17.91375372785934,18.010081150983375,16.428051772779302
41.0,16.586210763031584,17.968021208404803,18.762863322086325,17.599253806362512,18.905239956599527,15.489357600003707
42.0,17.982979022377737,15.87767253670919,17.056647103486316,17.07471647748643,18.402604230728507,15.947759279370462
43.0,17.720371455264807,14.10319837623625,20.369176066586824,17.774807460291253,15.60597400333472,16.193980729054395
44.0,17.479217015555037,16.296621323147935,18.18327426809575,18.892445123437113,16.632376047634434,15.797536078421412
45.0,16.90023561647855,15.923682497670104,18.919176575292532,18.657126371886154,16.668983492428392,15.973465923383161
46.0,18.2552232176209,17.574770853634412,20.788128420467782,17.872797950301166,16.80924664387986,14.955743903584045
47.0,18.3308698947148,17.430403166220614,18.774025109594938,18.08536349209735,19.038755055718838,14.820382356204663
48.0,17.550690361706476,15.453247961227468,20.421850178580584,18.65560949123582,18.635132481373923,16.835240997277182
49.0,18.339350482219615,18.052297805374504,18.458033689475894,19.708122411795305,18.707819015448365,17.394059254818735
50.0,19.764455194900552,16.92867404170504,21.412677102295948,19.351352082843125,18.084779965026197,17.62019738886764
51.0,18.643411134793645,17.96964894549278,15.679249970963133,19.58434495073012,18.12727791792962,16.481975475259183
52.0,18.433487137549005,17.966292547913895,15.926007965025045,20.361392345193913,18.999164482774717,16.076794582324744
53.0,19.63027296716484,18.604538630168808,21.19834043862648,19.724100221311737,16.9896529069397,17.297056840302005
54.0,18.696738845263063,18.447193489385537,19.959548813963178,19.26863152471307,19.834083094366868,18.809832590501735
55.0,19.971410874612634,17.02291890800792,21.22276796386807,20.067522000541192,19.62813633273413,18.29419346157529
56.0,19.00654410369539,19.23038780009768,20.93086144863419,20.433899240278556,19.39174576924513,18.57184530022808
57.0,20.01263184601809,20.298580542016143,20.177229291551953,20.75760157105388,20.378770534296915,18.598455693444247
58.0,19.800017292519563,17.526763720376493,20.172070895920463,20.45533782013617,18.953056140869435,17.781566829994247
59.0,20.18680097307846,18.189624928046747,20.01288505737925,20.819894803093284,20.851910379839154,17.887205070233804
60.0,20.28373731954309,20.528013695568553,21.39073834720989,20.94114412974091,21.227789748323858,17.20346858944347
61.0,20.236953116149188,19.28036247676399,19.493626323935498,19.962149358033365,20.92456632400321,17.017898752976567
62.0,20.75212973478246,19.808515014824767,20.474541371354853,21.05582030690401,20.581152469629927,17.175050697819895
63.0,21.15836737535259,19.29605375118238,20.40965048248468,22.1801322449113,19.210894338610785,17.34354971599693
64.0,20.24693846845011,19.929754576688488,20.40510799969356,22.103984836266054,19.120705696047686,18.113242787704813
65.0,20.910600534384503,20.447466634998214,12.484591453267557,21.610594123409587,19.84807438032166,16.06123001270764
66.0,21.684078390078632,20.22154172708038,-0.26290033613705194,-5.097022361159845,-14.769871018785492,16.13935411052757
67.0,9.147464037117448,20.57422642923833,-0.979413948262161,-0.6369887477519831,-0.1279013907842858,3.558161031037397
68.0,-0.9400669412005701,20.541542061092375,0.42297136099536553,0.2427009040489679,-1.2501264105305232,1.5675027853046921
69.0,0.008968960064663313,20.27479780320031,-1.1039016888805482,-1.1241096872537248,0.13716883652630196,-0.9398991717137091
70.0,-0.7253142119350476,20.149974071673714,0.906618677149612,0.22722872141580247,-0.09212221040567171,2.3079746327639157
71.0,-0.8238308344071243,2.5501512359517626,-0.06826484534271006,0.3121740378331021,-0.7766332251547501,-0.06697785764249747
72.0,0.652672351228482,-2.728240909092117,-0.3929272733112366,-0.6230334457690648,0.8086227534962933,-0.6569252544177782
