   year        tas_(K)            co2_(ppm)    landflx_(PgC/yr)  ocnflx_(PgC/yr)  gpp_(PgC/yr)    npp_(PgC/yr)    rh_(PgC/yr)     cveg_(PgC)      csoil_(PgC)
  1851.0   13.466344699000047   284.2   1.28618764208   -0.170814   119.388744276   60.6282394543   58.4652834341   586.324688526   1781.17863619 
  1852.0   13.568129854000006   284.2   0.152916363268   -0.0712291   116.932780019   59.2280743125   58.2061040192   586.723668205   1781.74674599 
  1853.0   13.421776171000033   284.2   1.33686400955   -0.235949   120.127421182   60.9523593456   58.7492413495   586.908825451   1781.86527043 
  1854.0   13.433059022999998   284.2   0.761600442754   -0.179155   118.075434687   59.6007982981   57.9403108812   587.242371106   1782.6406551 
  1855.0   13.580783472000007   284.2   -0.0121599631827   0.00686974   116.627488017   58.5281840444   57.6820589055   587.340657517   1783.07585321 
  1856.0   13.697114168000041   284.2   -2.19315904262   -0.0473343   115.052949177   57.6039677353   58.9224320013   586.922109244   1781.89603474 
  1857.0   13.500594476000003   284.2   -0.110990580071   0.104629   115.607229362   58.3021773888   57.5501324983   586.817040159   1781.16853217 
  1858.0   13.61246627700001   284.2   -1.1732816522   0.0958575   115.457239792   57.904083556   58.1635833981   586.541807731   1780.82066969 
  1859.0   13.546822565000014   284.2   -0.149031288822   -0.071199   118.349887306   59.6218961401   58.8518093388   586.410888293   1780.14896869 
  1860.0   13.49428711600001   284.2   0.540612834474   -0.0424729   118.661334362   59.7634049127   58.3179134334   586.793032058   1780.25699655 
  1861.0   13.432966308000005   284.2   0.879865902619   -0.0386508   119.908771504   60.7340065511   58.9296299345   586.909534506   1780.56246306 
  1862.0   13.389932351000027   284.2   1.15176024484   -0.0107373   119.28054659   60.3693653827   58.264636479   587.428634417   1781.38754106 
  1863.0   13.399272350000047   284.2   -0.913367826779   0.0348174   117.717908155   58.902216632   58.8976788984   587.348422186   1781.5015288 
  1864.0   13.45352684200003   284.2   -0.333294064784   -0.0300741   116.881845399   58.7703596155   58.2103250897   586.969610571   1780.96656768 
  1865.0   13.339008183000033   284.2   -0.356222013027   -0.00604041   114.545636404   57.7778978949   57.2350327448   586.673154084   1781.26377287 
  1866.0   13.351229508000017   284.2   -0.12462654782   0.172128   114.53134401   57.773083215   57.0200846389   586.326696159   1781.54585846 
  1867.0   13.415587365000022   284.2   -0.0201223589808   0.159075   114.768706475   58.0166495951   57.2266226873   585.852011186   1781.51958131 
  1869.0   13.260210482000048   284.2   0.135037487931   0.046598   117.360869463   59.3874660745   58.4060800273   585.102294841   1781.48119992 
  1870.0   13.326084137999999   284.2   -0.145402112122   0.0111131   116.764589862   58.8368327669   58.0888019389   585.401835473   1781.60294211 
  1871.0   13.342139685000006   284.2   0.0945576419432   0.0200604   115.759203897   58.4808355534   57.4992379946   585.062333131   1781.21026428 
  1872.0   13.37489094   284.2   -1.22928178947   -0.137924   113.436131184   56.9111730705   57.2676637921   584.847055466   1781.56648486 
  1873.0   13.372775109000031   284.2   -0.357273808315   0.0400281   114.43550379   57.8263523706   57.345468533   584.478994737   1781.19485426 
  1874.0   13.294450919000042   284.2   -0.451483540636   -0.201928   115.315892899   57.8954968863   57.5299811334   584.159014583   1780.70488903 
  1875.0   13.174654264000026   284.2   0.760820818684   -0.339884   119.0561286   60.1302465661   58.5243670472   584.353720629   1780.88244089 
  1876.0   13.205098906000046   284.2   2.22394295389   -0.235679   120.563000574   61.0123925725   57.8743808722   585.072735246   1781.83993226 
  1877.0   13.36883324200005   284.2   -0.251518591474   0.0466435   112.954913401   56.9671874808   56.3284744286   584.887449242   1782.70319401 
  1878.0   13.485360613000012   284.2   -2.30750604049   -0.0198524   114.334604151   57.0776361307   58.5056589826   584.31067715   1782.0629077 
  1879.0   13.384267530000045   284.2   1.39062413882   0.0657008   119.364183653   60.4767404942   58.1893556505   584.388041276   1781.45071605 
  1880.0   13.526104807000024   284.2   -1.3802477837   0.133514   116.04210734   58.2008043646   58.7019198342   584.679012986   1781.30178293 
  1881.0   13.45048082300002   284.2   0.110558236891   0.0362758   118.054490813   59.8548543318   58.8573711574   584.690590432   1780.32945811 
  1882.0   13.31407841600003   284.2   1.42350705315   -0.101874   119.500485647   60.5409926987   58.2096945825   585.403834914   1780.73453345 
  1883.0   13.309679549000009   284.2   1.39984447839   -0.16059   118.631860087   59.8604019361   57.5667281432   586.012531272   1781.58678375 
  1884.0   13.303175001   284.2   0.728230565736   -0.0980146873431   119.122413963   59.5755049033   57.9659443392   586.328732103   1782.34118288 
  1885.0   13.350865762000012   284.2   -0.173236221852   -0.351115090177   116.449931115   58.6458764645   57.9471464705   586.298800091   1782.40339496 
  1886.0   13.304405506000023   284.2   0.879999751947   -0.198500810158   117.648026847   59.55661945   57.7508069581   586.558039813   1782.65892695 
  1887.0   13.45286978300004   284.2   -1.34064683352   0.0748273270933   110.15056326   55.3553973508   55.8245949869   585.778253113   1783.28684734 
  1888.0   13.562418300000047   284.2   -2.64358024627   0.145707344276   110.807725431   55.5597262441   57.3419840353   584.579904285   1782.07927328 
  1889.0   13.473850082000013   284.2   -0.796831834486   -0.0447887164774   115.710839604   58.4229333345   58.3375802728   584.111237082   1781.04633962 
  1890.0   13.336336625000001   284.2   0.486875519932   -0.0504181010051   115.404646972   58.4289362768   57.0447862493   584.033740387   1781.10473031 
  1891.0   13.422106598000028   284.2   -2.00533228003   0.0890426250842   112.365471351   56.6282611827   57.7559600635   583.517068619   1780.98338954 
