climate_model,ensemble_member,region,ecs_abrupt-2xco2,ecs_theoretical,tcre_1pctco2,tcre_flat10,tnz_flat10,tpw,tr0_flat10,tr1000_flat10,zec100_esm-1pct-brch-1000pgc,zec100_esm-1pct-brch-2000pgc,zec100_esm-1pct-brch-750pgc,zec100_flat10,zec200_esm-1pct-brch-1000pgc,zec200_esm-1pct-brch-2000pgc,zec200_esm-1pct-brch-750pgc,zec200_flat10,zec50_esm-1pct-brch-1000pgc,zec50_esm-1pct-brch-2000pgc,zec50_esm-1pct-brch-750pgc,zec50_flat10
MAGICCv7.5.3,294,World,3.920420820903435,4.100571280630468,2.1000722236520155,2.029972689169107,0.0404780451072883,4,0.0456598459703516,0.101703967558778,0.061838313030055,0.7832488223017786,-0.0358490783386737,0.0572501816693518,0.1975707166316573,1.4271037288970718,0.0472682181970673,0.1668473269819079,0.0128771000537653,0.438288071331709,-0.0487864623349985,0.0153867151911435
MAGICCv7.5.3,295,World,2.0106442938812745,2.038390583046567,1.150396525734256,1.055923233776601,-0.0587834435014442,-12,-0.5930446908569167,-0.2452716505433951,-0.2671744618285878,-0.1647972172690814,-0.2439685808326155,-0.212525646199251,-0.329332312096473,-0.2092792947957016,-0.2967432945853793,-0.2633836320741372,-0.1621895936892574,-0.0793964270098634,-0.1524284795868727,-0.134533621482254
MAGICCv7.5.3,296,World,4.178034751446086,4.210876556704527,2.083736993800482,2.083782964033683,0.1075102009357569,9,-0.0658657332977414,0.2801024834513792,0.2796899768364214,0.8828404186703755,0.1626405724567761,0.1647347192474768,0.3660149217661188,1.344036667349184,0.1967771951834203,0.2249673385253361,0.2015434048634867,0.5757906396965371,0.1270552187929825,0.1216237021846287
MAGICCv7.5.3,297,World,2.222653031793204,2.229205764303537,1.49971986872605,1.4859527017837246,0.0263971717669608,2,-0.3175903283809181,0.0301341509428456,0.012174379518943,0.2717909296856713,-0.0210490121416824,-0.0012570374326763,-0.0041813604372369,0.3566727639662979,-0.0491508037761152,-0.0220087887546052,0.018444067593095,0.2029264746505101,-0.0039264961209926,0.009422668291618
MAGICCv7.5.3,298,World,2.025442472606529,2.0274716635107137,1.3220520756383718,1.2171158314230723,-0.0408710378909662,-7,-0.4915695397131499,-0.1788039065604336,-0.2022160396720629,0.080880128404603,-0.226432545946779,-0.1562773387402947,-0.244041412374405,0.1600438225965152,-0.2702678774762221,-0.1967394711108103,-0.1427450181461487,0.0468799499084182,-0.1633450102469967,-0.10710577167591
MAGICCv7.5.3,299,World,2.386658782162808,2.4281000449192303,1.4565239481212102,1.2847581480439385,-0.0787101853548362,-10,-0.5161746152963693,-0.2245497422291593,-0.2589462802009388,-0.1699647459702773,-0.2181102834410517,-0.171869944361181,-0.3159966666590708,-0.2289133226218878,-0.2630981151965582,-0.2311493677033262,-0.2248547691846574,-0.1417532228999549,-0.1872930653605008,-0.1300745312230071
MAGICCv7.5.3,3,World,2.7336658420674764,2.7994603264814035,1.4809705024288309,1.358240048126905,-0.0597166306043259,-8,-0.5598045869811032,-0.2050643536173793,-0.2126939082410928,-0.1040040987112296,-0.2115362730559497,-0.1543340036237483,-0.2570596868515054,-0.1197319599419648,-0.2501706392538215,-0.2044109977155943,-0.1877369878390893,-0.0998523345153832,-0.1852451573793181,-0.1189874544550821
MAGICCv7.5.3,30,World,2.6808877624090024,2.698817620727665,1.5080505992076394,1.4085332592893378,-0.0616723270226005,-9,-0.6040065827991836,-0.2465013954387691,-0.2348589563199297,-0.0872233985755763,-0.243201110486031,-0.1906181818228458,-0.3088166081874586,-0.1524634724465525,-0.3013635776192623,-0.2618144242798117,-0.1876631935014117,-0.0557743185052568,-0.1996211442339637,-0.135546119346877
MAGICCv7.5.3,300,World,2.3316117655840976,2.352373897634602,1.2714958224980684,1.2059931971147448,-0.0039721468927211,-2,-0.4012311629580865,-0.0457514540691099,-0.0456492118729452,0.14826054324898,-0.0684616753430817,-0.0591033441339379,-0.0864653596801237,0.2052403161496476,-0.1096017158182245,-0.0953785687897614,-0.0241632394051607,0.1068259627315089,-0.0416063468532275,-0.0302902163395648
MAGICCv7.5.3,301,World,2.7175894645181757,2.72033264109949,1.4626180293881217,1.3537795811883728,-0.0649422580040035,-10,-0.618085564168406,-0.2533439958414993,-0.240701592607796,-0.0748606917180376,-0.2589415402273006,-0.1920355213507127,-0.3160900129126585,-0.1317715378148296,-0.3162150322064155,-0.2664770430584644,-0.1976515967578977,-0.0547012763631933,-0.2164230367750259,-0.1385659550677849
MAGICCv7.5.3,302,World,4.486009054744934,4.533547541574743,2.3057558839575325,2.222426750207598,0.0331284118366692,0,-1.034823153229659,-0.0743245700015577,-0.0383040057908181,0.5993027899678793,-0.1419601635186469,-0.1504626563385263,-0.1354010994008314,0.7870250941676895,-0.238725316710384,-0.2575289861656284,0.0473878142414401,0.4498357220663438,-0.0320144708533953,-0.0474529008927753
MAGICCv7.5.3,303,World,4.1318819324266745,4.216456286959184,2.239687695685342,2.2052307779248084,0.0892130960506643,8,0.242029879353225,0.2624576522258386,0.211608393316248,0.8036574812923991,0.0804425163900652,0.1741775711767288,0.4298974685989987,1.3850948976849908,0.2164258696919503,0.3539081745338546,0.1115648068825523,0.4649766921659237,0.0335894979816469,0.0894891253839791
MAGICCv7.5.3,304,World,2.117225344986487,2.118290766329519,1.178019274569865,1.1000100689290793,-0.0433968925468517,-8,-0.5152349737977959,-0.1693924385193618,-0.1594853655120367,-0.0700155459008735,-0.1637540586653086,-0.1273978096769572,-0.2088773712760234,-0.1147254434582376,-0.2043709558319948,-0.1787484517915891,-0.133315272557579,-0.0544383468431663,-0.1373853282711321,-0.0930058007595697
MAGICCv7.5.3,305,World,2.442073060197007,2.4743013547590733,1.4061254623014108,1.338342088969851,-0.0057625874741782,-2,-0.5644382508016904,-0.0823394570287912,-0.0815318814474224,0.2213574543453003,-0.1002462968952273,-0.09437656798262,-0.1584526024681734,0.2389251645716781,-0.1676402616438707,-0.1650948597490062,-0.0378394590645712,0.1875944459818428,-0.0586671600012864,-0.0468558865867008
