,tcre,zec50,zec100
1230,1.9081410381952406,-0.1762012284336978,-0.30736947637556344
1715,1.2042982064244454,-0.14100916780234707,-0.17950638677745512
2658,2.19375662976011,0.5653411362941494,0.802064266037088
3898,2.135317381858558,0.7892658895100104,1.2027792817756366
5915,1.943801213626597,-0.1442631948836759,-0.18316539369809948
6306,1.9079607942282237,-0.07596904940682725,-0.055257853420400016
6661,1.867680596512694,0.16494878832533733,0.2949650144502711
7996,2.3073330952469684,-0.18786434215907688,-0.2833167179876228
8383,1.759935275640615,-0.024066305460935133,0.053266934054375215
9214,1.4372459435659812,-0.11830636665559902,-0.14069486304843926
9458,1.686733951143762,0.13754001530363613,0.20109469140292657
9680,1.3906804844487797,-0.12776804232854322,-0.14643420818402864
11811,1.7336507904327385,-0.24217316239981757,-0.33455491737145526
12179,1.7364407430758002,-0.04530254420591984,-0.039210797134409336
12349,2.0593452934328225,0.1366658022535896,0.2203061480185875
13729,2.024445631446338,0.018000211914678044,0.04214717774868815
14515,1.2748244787516383,-0.13450727154554887,-0.1715538318537666
14824,1.6653741045544648,0.28450203124081264,0.49774136052278606
15186,1.39600611888475,-0.12799972025331252,-0.13066954686675603
16767,1.50307415603933,-0.2048630243749785,-0.35062044111194024
17371,1.0944592023538056,-0.07452590868832076,-0.09593671679121551
17813,1.5839188553930015,-0.05015561154169301,-0.036698229733636234
19515,1.5934150912562501,-0.11828162130656805,-0.1295139526857767
23544,1.7214467679352758,-0.0036149002525813767,-0.025580088061550432
23590,1.6417451040359177,0.022142187671317703,-0.015367883595748921
25361,2.0952232306921603,0.019508900587581035,-0.08373362928509609
27136,1.2127593829631529,0.0365034814612446,0.047362183566174165
28108,1.7580562379790394,0.10513653469586193,0.03695629108809673
28578,1.3094669089420046,0.12969710773313636,0.2372042690489482
30306,1.22935282790529,0.13133634468239874,0.12094629985619476
37027,1.2696623907462206,-0.04373141342594855,-0.023955494221141516
41372,1.6147495907539466,0.20423187934459186,0.311303026126883
43444,1.1263168844855413,-0.0175488298298494,-0.021538742007712885
44501,1.3821985887554427,-0.062015202046359574,-0.07080034217957776
44778,1.778574586942358,-0.1777193858675381,-0.2896009372653867
45979,1.4213912321715636,-0.07831029523360522,-0.09669866362915203
46609,2.0022046668676174,-0.068274902727405,-0.08549861268198677
46634,1.2830929878504451,-0.11066481902116254,-0.1236804856116589
48679,1.7350833637372405,-0.2292774564038813,-0.3377356973298484
51558,1.3621341021719504,0.18575175452923132,0.2587349445938161
53424,1.9397599991572443,-0.13106949774250487,-0.17294189348567768
58185,1.4179432721915668,0.0006660747807227807,-0.09765699056709343
58814,1.6901711012041118,0.10909141950777101,0.15646790985347336
61215,1.5845162306918865,-0.05327341923239515,-0.030929505541930524
61316,1.8920679157683706,-0.13839594749760242,-0.1905313878460253
62962,1.7494854829421023,0.048272152475060004,-0.008547554898657328
66380,1.9620449143507417,-0.09670047888166788,-0.14854364523928543
67109,1.5046684775839425,0.1718390210301679,0.26629792626025917
73454,1.0853446462824325,-0.008111835402182521,-0.01449493593713247
74441,0.954327941888061,-0.03534923089472619,-0.053391594696044375
74805,1.6180603293039257,-0.03108899089865158,-0.032898949216737305
77060,1.3449430193453948,0.1502740438535597,0.23324591209258982
81590,1.3128704750683433,-0.1337075705943207,-0.1763191659210681
82942,1.4641175152598054,-0.10169934142554737,-0.11868947487828763
83449,2.11653094726768,0.4808662667830079,0.6406464832916829
84839,1.9862590178572688,-0.035161105350265176,-0.11683722416719955
89645,1.4265823559282342,-0.11906894219014874,-0.19563165652421
90101,1.3252095770854764,-0.17534387537044438,-0.23053059838080991
92941,2.2344575443277552,0.28857848400502606,0.27493298188369675
94283,2.047246559491894,-0.008290050389110792,-0.10776801303147909
95889,1.7566868900618668,0.3507573226096028,0.4328460576800057
96217,1.5032712591946817,-0.18981445771677397,-0.22659400556622167
98882,1.2052504446344292,-0.07491006726532934,-0.073869081180435
101087,1.8258051139695939,-0.25656920121304627,-0.3752297311489028
102196,1.2074855042182002,-0.025909126503594004,-0.057799738838240966
103238,1.5372349934029208,-0.15688659189900767,-0.276494558199186
104018,1.3190958587717057,-0.007401503588462921,0.013536724441865822
104047,1.5706374764895228,-0.12122744512620365,-0.23863556483477977
104455,1.743075861993413,0.3932377104288378,0.6625586534350825
104698,1.6322884626823382,0.0728073233873443,0.10812120077777676
105860,1.6097499561454112,0.2023507295254685,0.21189121064323757
107761,1.5217467739310742,-0.11221772598507984,-0.1344962090886439
107817,2.0099018346307354,-0.22083967728635523,-0.30165166522506626
111839,1.214888336294967,-0.1371813338319372,-0.19509653012063866
113632,1.8039357067707067,-0.03896427252740531,-0.05419337426119397
113811,1.8827643174527313,-0.0077809280728571295,-0.07176686741935123
114151,1.4968847636399412,-0.12899956276283264,-0.17585926404540553
116975,1.4324003877165343,-0.12110326606895083,-0.15921910610389123
118983,1.5922878497346606,0.12167581377107184,0.20200284764225063
121134,1.7114847331758645,-0.07581878044218615,-0.08816874619474224
123476,1.2722485248692408,-0.0969241495085591,-0.15359538933397943
123643,1.7771251401273929,0.3777098544355062,0.4977077897449851
125351,2.057634480661064,0.1143410118363346,0.2132494548580408
